project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
17_inspirento,Testing the same exception scenario,17,0,-17,155,2333,0.10967742,0.00000000,-0.10967742,0.00728676,0.00000000,-0.00728676,ok
18_jsecurity,Asserting Constants,20,22,2,1355,17106,0.01476015,0.01623616,0.00147601,0.00116918,0.00128610,0.00011692,ok
18_jsecurity,Asserting object initialization multiple times,460,430,-30,1355,17106,0.33948339,0.31734317,-0.02214022,0.02689115,0.02513738,-0.00175377,ok
18_jsecurity,Duplicated Setup,361,293,-68,1355,17106,0.26642066,0.21623616,-0.05018450,0.02110371,0.01712849,-0.00397521,ok
18_jsecurity,Exceptions due to external dependencies,1,1,0,1355,17106,0.00073801,0.00073801,0.00000000,0.00005846,0.00005846,0.00000000,ok
18_jsecurity,Exceptions due to incomplete setup,9,9,0,1355,17106,0.00664207,0.00664207,0.00000000,0.00052613,0.00052613,0.00000000,ok
18_jsecurity,Exceptions due to null arguments,65,49,-16,1355,17106,0.04797048,0.03616236,-0.01180812,0.00379984,0.00286449,-0.00093534,ok
18_jsecurity,Multiple calls to the same void method,110,103,-7,1355,17106,0.08118081,0.07601476,-0.00516605,0.00643049,0.00602128,-0.00040921,ok
18_jsecurity,Not asserted return values,208,197,-11,1355,17106,0.15350554,0.14538745,-0.00811808,0.01215948,0.01151643,-0.00064305,ok
18_jsecurity,Not asserted side effects,205,197,-8,1355,17106,0.15129151,0.14538745,-0.00590406,0.01198410,0.01151643,-0.00046767,ok
18_jsecurity,Not null assertion,22,7,-15,1355,17106,0.01623616,0.00516605,-0.01107011,0.00128610,0.00040921,-0.00087689,ok
18_jsecurity,Testing only field accesors,115,118,3,1355,17106,0.08487085,0.08708487,0.00221402,0.00672279,0.00689816,0.00017538,ok
18_jsecurity,Testing the same exception scenario,87,64,-23,1355,17106,0.06420664,0.04723247,-0.01697417,0.00508593,0.00374138,-0.00134456,ok
19_jmca,Asserting object initialization multiple times,145,150,5,555,5597,0.26126126,0.27027027,0.00900901,0.02590674,0.02680007,0.00089334,ok
19_jmca,Duplicated Setup,174,135,-39,555,5597,0.31351351,0.24324324,-0.07027027,0.03108808,0.02412006,-0.00696802,ok
19_jmca,Exceptions due to external dependencies,35,0,-35,555,5597,0.06306306,0.00000000,-0.06306306,0.00625335,0.00000000,-0.00625335,ok
19_jmca,Exceptions due to incomplete setup,60,11,-49,555,5597,0.10810811,0.01981982,-0.08828829,0.01072003,0.00196534,-0.00875469,ok
19_jmca,Exceptions due to null arguments,31,6,-25,555,5597,0.05585586,0.01081081,-0.04504505,0.00553868,0.00107200,-0.00446668,ok
19_jmca,Multiple calls to the same void method,47,82,35,555,5597,0.08468468,0.14774775,0.06306306,0.00839736,0.01465071,0.00625335,ok
19_jmca,Not asserted return values,57,57,0,555,5597,0.10270270,0.10270270,0.00000000,0.01018403,0.01018403,0.00000000,ok
19_jmca,Not asserted side effects,73,132,59,555,5597,0.13153153,0.23783784,0.10630631,0.01304270,0.02358406,0.01054136,ok
19_jmca,Not null assertion,2,11,9,555,5597,0.00360360,0.01981982,0.01621622,0.00035733,0.00196534,0.00160800,ok
19_jmca,Testing only field accesors,23,24,1,555,5597,0.04144144,0.04324324,0.00180180,0.00410934,0.00428801,0.00017867,ok
19_jmca,Testing the same exception scenario,122,8,-114,555,5597,0.21981982,0.01441441,-0.20540541,0.02179739,0.00142934,-0.02036805,ok
20_nekomud,Asserting object initialization multiple times,7,7,0,12,252,0.58333333,0.58333333,0.00000000,0.02777778,0.02777778,0.00000000,ok
20_nekomud,Duplicated Setup,2,0,-2,12,252,0.16666667,0.00000000,-0.16666667,0.00793651,0.00000000,-0.00793651,ok
20_nekomud,Exceptions due to incomplete setup,1,0,-1,12,252,0.08333333,0.00000000,-0.08333333,0.00396825,0.00000000,-0.00396825,ok
20_nekomud,Exceptions due to null arguments,2,1,-1,12,252,0.16666667,0.08333333,-0.08333333,0.00793651,0.00396825,-0.00396825,ok
20_nekomud,Not asserted side effects,4,4,0,12,252,0.33333333,0.33333333,0.00000000,0.01587302,0.01587302,0.00000000,ok
